code_insee,nom_standard,dep_code,population,superficie_km2,densite,latitude_mairie,longitude_mairie
01365,Saint-Jean-sur-Veyle,01,1159,11,103.0,46.257,4.914
01366,Sainte-Julie,01,1090,11,95.0,45.889,5.278
01367,Saint-Julien-sur-Reyssouze,01,707,7,94.0,46.402,5.112
01368,Saint-Julien-sur-Veyle,01,848,10,86.0,46.204,4.954
01369,Saint-Just,01,954,3,280.0,46.192,5.279
01370,Saint-Laurent-sur-Saône,01,1659,1,3130.0,46.306,4.842
01371,Saint-Marcel,01,1261,12,108.0,45.948,4.985
01372,Saint-Martin-de-Bavel,01,436,9,51.0,45.85,5.681
01373,Saint-Martin-du-Frêne,01,1033,19,53.0,46.14,5.553
01374,Saint-Martin-du-Mont,01,1899,28,68.0,46.102,5.328
01375,Saint-Martin-le-Châtel,01,781,13,62.0,46.282,5.117
01376,Saint-Maurice-de-Beynost,01,4155,7,601.0,45.831,4.976
01378,Saint-Maurice-de-Gourdans,01,2748,25,108.0,45.821,5.194
01379,Saint-Maurice-de-Rémens,01,756,10,73.0,45.959,5.276
01380,Saint-Nizier-le-Bouchoux,01,598,28,21.0,46.46,5.151
01381,Saint-Nizier-le-Désert,01,922,25,37.0,46.055,5.148
01382,Sainte-Olive,01,331,7,45.0,46.019,4.934
01383,Saint-Paul-de-Varax,01,1641,26,63.0,46.099,5.129
01384,Saint-Rambert-en-Bugey,01,2173,29,76.0,45.949,5.44
01385,Saint-Rémy,01,943,7,128.0,46.19,5.168
01386,Saint-Sorlin-en-Bugey,01,1125,9,124.0,45.885,5.372
01387,Saint-Sulpice,01,260,5,51.0,46.322,5.04
01388,Saint-Trivier-de-Courtes,01,1119,16,68.0,46.459,5.081
01389,Saint-Trivier-sur-Moignans,01,1857,42,44.0,46.072,4.898
01390,Saint-Vulbas,01,1234,22,57.0,45.836,5.294
01391,Salavre,01,284,8,36.0,46.364,5.346
01392,Samognat,01,660,14,46.0,46.258,5.576
01393,Sandrans,01,567,29,19.0,46.064,4.979
01396,Sault-Brénaz,01,997,6,175.0,45.857,5.406
01397,Sauverny,01,992,2,542.0,46.316,6.114
01398,Savigneux,01,1449,15,97.0,46.002,4.849
01399,Ségny,01,2412,3,744.0,46.296,6.074
01400,Seillonnaz,01,137,10,14.0,45.807,5.49
01401,Sergy,01,2218,10,227.0,46.252,5.999
01402,Sermoyer,01,648,17,39.0,46.497,4.979
01403,Serrières-de-Briord,01,1312,9,153.0,45.807,5.453
01404,Serrières-sur-Ain,01,134,8,16.0,46.152,5.452
01405,Servas,01,1270,13,98.0,46.133,5.165
01406,Servignat,01,175,8,22.0,46.434,5.069
01407,Seyssel,01,1001,2,415.0,45.956,5.832
01408,Simandre-sur-Suran,01,656,16,40.0,46.225,5.416
01410,Sonthonnax-la-Montagne,01,292,14,21.0,46.231,5.524
01411,Souclin,01,267,13,20.0,45.876,5.416
01412,Sulignat,01,608,11,56.0,46.177,4.964
01415,Talissieu,01,519,5,105.0,45.869,5.72
01416,Tenay,01,1013,13,77.0,45.918,5.509
01418,Thil,01,1156,5,227.0,45.814,5.021
01419,Thoiry,01,6136,29,213.0,46.236,5.98
01420,Thoissey,01,1655,1,1217.0,46.172,4.801
01421,Torcieu,01,744,11,68.0,45.921,5.397
01422,Tossiat,01,1352,10,133.0,46.14,5.317
01423,Toussieux,01,1198,5,253.0,45.961,4.828
01424,Tramoyes,01,1843,13,141.0,45.875,4.964
01425,La Tranclière,01,286,15,19.0,46.11,5.261
01426,Val-Revermont,01,2500,40,63.0,46.271,5.368
01427,Trévoux,01,6947,6,1232.0,45.941,4.776
01428,Valeins,01,131,4,30.0,46.112,4.87
01429,Vandeins,01,717,9,77.0,46.215,5.079
01430,Varambon,01,654,8,82.0,46.04,5.317
01431,Vaux-en-Bugey,01,1234,8,149.0,45.928,5.354
01432,Verjon,01,339,5,66.0,46.347,5.349
01433,Vernoux,01,301,10,29.0,46.48,5.11
01434,Versailleux,01,494,19,25.0,45.98,5.105
01435,Versonnex,01,2137,6,366.0,46.305,6.098
01436,Vesancy,01,502,11,47.0,46.348,6.089
01437,Vescours,01,219,12,18.0,46.475,5.025
01439,Vésines,01,98,4,25.0,46.359,4.867
01441,Vieu-d'Izenave,01,735,20,37.0,46.081,5.53
